iterations,cuts,model,model_base,discretization_type,dataset,accuracy,std,accuracy_pct,best_in_group,samples,features,classes,improvement_vs_base,best_base_model,best_base_accuracy
10it,3p,AODE-bin3q,AODE,equal_freq,adult,0.846292,0.002939,84.63,false,45222,14,2,,,
10it,3p,AODE-bin3q,AODE,equal_freq,balance-scale,0.818638,0.018091,81.86,false,625,4,3,,,
10it,3p,AODE-bin3q,AODE,equal_freq,breast-w,0.945828,0.015834,94.58,false,683,9,2,,,
10it,3p,AODE-bin3q,AODE,equal_freq,diabetes,0.747845,0.024723,74.78,false,768,8,2,,,
10it,3p,AODE-bin3q,AODE,equal_freq,ecoli,0.803866,0.03575,80.39,false,336,7,8,,,
10it,3p,AODE-bin3q,AODE,equal_freq,glass,0.68231,0.053465,68.23,false,214,9,6,,,
10it,3p,AODE-bin3q,AODE,equal_freq,hayes-roth,0.766345,0.050029,76.63,true,160,4,3,,,
10it,3p,AODE-bin3q,AODE,equal_freq,heart-statlog,0.838272,0.06694,83.83,false,270,13,2,,,
10it,3p,AODE-bin3q,AODE,equal_freq,ionosphere,0.921127,0.02807,92.11,false,351,34,2,,,
10it,3p,AODE-bin3q,AODE,equal_freq,iris,0.926667,0.052251,92.67,false,150,4,3,,,
10it,3p,AODE-bin3q,AODE,equal_freq,kdd_JapaneseVowels,0.858046,0.009145,85.8,true,9961,14,9,,,
10it,3p,AODE-bin3q,AODE,equal_freq,letter,0.692766,0.005974,69.28,true,20000,16,26,,,
10it,3p,AODE-bin3q,AODE,equal_freq,liver-disorders,0.683092,0.057677,68.31,true,345,6,2,,,
10it,3p,AODE-bin3q,AODE,equal_freq,mfeat-factors,0.938833,0.010933,93.88,true,2000,216,10,,,
10it,3p,AODE-bin3q,AODE,equal_freq,mfeat-fourier,0.7675,0.019933,76.75,false,2000,76,10,,,
10it,3p,AODE-bin3q,AODE,equal_freq,mfeat-karhunen,0.922167,0.018633,92.22,false,2000,64,10,,,
10it,3p,AODE-bin3q,AODE,equal_freq,mfeat-morphological,0.648667,0.015115,64.87,true,2000,6,10,,,
10it,3p,AODE-bin3q,AODE,equal_freq,mfeat-zernike,0.714167,0.011977,71.42,false,2000,47,10,,,
10it,3p,AODE-bin3q,AODE,equal_freq,optdigits,0.913699,0.007366,91.37,false,5620,64,10,,,
10it,3p,AODE-bin3q,AODE,equal_freq,page-blocks,0.936047,0.007251,93.6,false,5473,10,5,,,
10it,3p,AODE-bin3q,AODE,equal_freq,pendigits,0.920003,0.005299,92,true,10992,16,10,,,
10it,3p,AODE-bin3q,AODE,equal_freq,segment,0.894084,0.012973,89.41,true,2310,19,7,,,
10it,3p,AODE-bin3q,AODE,equal_freq,sonar,0.814144,0.052908,81.41,true,208,60,2,,,
10it,3p,AODE-bin3q,AODE,equal_freq,spambase,0.828733,0.010157,82.87,false,4601,57,2,,,
10it,3p,AODE-bin3q,AODE,equal_freq,vehicle,0.680509,0.029629,68.05,true,846,18,4,,,
10it,3p,AODE-bin3q,AODE,equal_freq,waveform-5000,0.804668,0.01168,80.47,false,5000,40,3,,,
10it,3p,AODE-bin3q,AODE,equal_freq,wine,0.962528,0.025361,96.25,false,178,13,3,,,
10it,3p,KDB-mdlp3,KDB,mdlp,adult,0.849609,0.003028,84.96,false,45222,14,2,,,
10it,3p,KDB-mdlp3,KDB,mdlp,balance-scale,0.819636,0.024742,81.96,false,625,4,3,,,
10it,3p,KDB-mdlp3,KDB,mdlp,breast-w,0.965343,0.015745,96.53,true,683,9,2,,,
10it,3p,KDB-mdlp3,KDB,mdlp,diabetes,0.754328,0.022182,75.43,false,768,8,2,,,
10it,3p,KDB-mdlp3,KDB,mdlp,ecoli,0.812404,0.039085,81.24,true,336,7,8,,,
10it,3p,KDB-mdlp3,KDB,mdlp,glass,0.685518,0.047046,68.55,false,214,9,6,,,
10it,3p,KDB-mdlp3,KDB,mdlp,hayes-roth,0.726757,0.076738,72.68,false,160,4,3,,,
10it,3p,KDB-mdlp3,KDB,mdlp,heart-statlog,0.806173,0.052316,80.62,false,270,13,2,,,
10it,3p,KDB-mdlp3,KDB,mdlp,ionosphere,0.921154,0.034905,92.12,false,351,34,2,,,
10it,3p,KDB-mdlp3,KDB,mdlp,iris,0.935556,0.056997,93.56,false,150,4,3,,,
10it,3p,KDB-mdlp3,KDB,mdlp,kdd_JapaneseVowels,0.678882,0.021811,67.89,false,9961,14,9,,,
10it,3p,KDB-mdlp3,KDB,mdlp,letter,0.415682,0.01008,41.57,false,20000,16,26,,,
